user_id,group,click_day
8e27bf9a-5b6e-41ed-801a-a59979c0ca98,A,
eb89e6f0-e682-4f79-99b1-161cc1c096f1,A,
7119106a-7a95-417b-8c4c-092c12ee5ef7,A,
e53781ff-ff7a-4fcd-af1a-adba02b2b954,A,
02d48cf1-1ae6-40b3-9d8b-8208884a0904,A,Saturday
5a3ca2d6-25d5-4909-8f07-519f71ee55e8,A,
6b929341-1336-4c34-965b-92e368ab160b,A,
90b0a07b-e20e-4e0a-872e-5cc303c5676b,A,
4b16c922-b2ab-48a8-885c-713ebf0ae159,A,
5eb5fc03-fbda-4149-b909-4f5fbc6b152f,A,
389ff492-4635-4535-8e42-685f771fccb1,A,
1d25885b-56c7-4fdd-bee8-6348c1386bf0,A,Thursday
4546807b-8211-4e7b-94cf-4f9c879e284b,A,
c447f7f4-a419-41c6-af31-0a17f7943816,A,
e75754d9-9342-4f1f-84e1-75c340ef78b2,A,
0d38042c-2296-4526-b21c-6b00805688d4,A,Friday
a54eeb29-1406-4032-bc2c-7d8166e4641a,A,
b54a48e0-ae75-44db-8421-d40cfa5cc3a7,A,
1a2ad0c4-3cb0-4346-9f77-6e42082a7433,A,Wednesday
512ab2bb-0c2e-46a1-9f34-40b3d2ecee1a,A,
43d00167-768d-4488-ba32-650c8ab05a06,A,
0d28dceb-c377-40f1-a238-a0ef1c525dd4,A,Tuesday
e66d263e-6746-4489-8ef6-8ab32c09a8c6,A,
5a795c56-8047-4546-a00c-2fa5fae5474e,A,
1cd795a0-c6a3-489d-ba09-7ad9b6d90a98,A,Thursday
8e65d46a-a61d-465c-b2a7-c534bec6219b,A,
d2d00ec5-48ac-4813-9b03-cc6da1354bd7,A,
02f09387-0949-489e-bc49-508e4ae5a0be,A,Monday
e395b3fb-46af-4e1c-b8d4-a1c4f490b46e,A,
c9499054-f8ac-4973-869f-14704694a1a9,A,
ac9f242f-e113-4f64-9224-893f0356c8e3,A,
2eb999e5-bee3-425a-b42d-5cd01d96379e,A,Wednesday
3e8eefbe-f838-4772-98e6-77b22fdf8c0d,A,
4efa76ec-baf8-4342-ab86-2379ccf17082,A,
d140a9ba-f424-4238-bd05-a6f7775fd1d0,A,
75e8a26d-8ada-4282-953c-82884277b8a0,A,
269f8ce7-7112-47ff-950e-5116a92e927a,A,Monday
96716d0d-9673-4303-b724-401bddbdb66a,A,
